polygon_id,image_coordinates,original_coordinates,geocoordinates
0.0,"[[917.3713636398315, 58.96181106567383], [925.9494791030884, 53.53470039367676], [917.2586517333984, 55.15765380859375], [917.3713636398315, 58.96181106567383]]","[(np.float64(559943.8098387704), np.float64(5935846.111863094)), (np.float64(559945.8112982496), np.float64(5935844.845601042)), (np.float64(559943.78354065), np.float64(5935845.224271102)), (np.float64(559943.8098387704), np.float64(5935846.111863094))]","[(9.905147944682449, 53.56805636324075), (9.905177919434397, 53.56804475412224), (9.905147377294794, 53.5680483890598), (9.905147944682449, 53.56805636324075)]"
0.1,"[[899.0, 72.49951171875], [893.0, 73.49853515625], [893.6328325271606, 74.98976612091064], [899.0, 72.49951171875]]","[(np.float64(559939.5234031241), np.float64(5935849.270500842)), (np.float64(559938.123473626), np.float64(5935849.503594572)), (np.float64(559938.271127113), np.float64(5935849.85153094)), (np.float64(559939.5234031241), np.float64(5935849.270500842))]","[(9.905083834780827, 53.568085241005726), (9.905062743542551, 53.568087495842086), (9.905065039565526, 53.56809060603473), (9.905083834780827, 53.568085241005726)]"
0.2,"[[866.1330394744873, 91.5964527130127], [870.6935882568359, 87.35554504394531], [868.4335165023804, 87.21381568908691], [866.1330394744873, 91.5964527130127]]","[(np.float64(559931.8548318655), np.float64(5935853.7262293445)), (np.float64(559932.9189063269), np.float64(5935852.736734054)), (np.float64(559932.3915828074), np.float64(5935852.703665537)), (np.float64(559931.8548318655), np.float64(5935853.7262293445))]","[(9.904968910558724, 53.56812616259027), (9.904984785978494, 53.56811714801408), (9.904976818159666, 53.56811691104447), (9.904968910558724, 53.56812616259027)]"
0.3,"[[663.1066493988037, 221.37042617797852], [855.0, 96.49951171875], [754.1835918426514, 152.07763481140137], [717.1225700378418, 176.28308391571045], [663.1066493988037, 221.37042617797852]]","[(np.float64(559884.4843931408), np.float64(5935884.005298267)), (np.float64(559929.2572534716), np.float64(5935854.870218834)), (np.float64(559905.7346095273), np.float64(5935867.837794494)), (np.float64(559897.0874732519), np.float64(5935873.4854481965)), (np.float64(559884.4843931408), np.float64(5935884.005298267))]","[(9.904259521838235, 53.56840370268754), (9.904929912087635, 53.56813674082498), (9.904577256658675, 53.56825597235451), (9.904447785720256, 53.56830771752934), (9.904259521838235, 53.56840370268754)]"
0.4,"[[629.5889739990234, 258.80680084228516], [655.0, 226.49951171875], [575.1395282745361, 282.19622898101807], [559.9061622619629, 306.2873649597168], [629.5889739990234, 258.80680084228516]]","[(np.float64(559876.6639960577), np.float64(5935892.740012466)), (np.float64(559882.5929368701), np.float64(5935885.202024625)), (np.float64(559863.9597651873), np.float64(5935898.197270865)), (np.float64(559860.4054921147), np.float64(5935903.8182528475)), (np.float64(559876.6639960577), np.float64(5935892.740012466))]","[(9.904143123984666, 53.56848309797264), (9.904231194076404, 53.56841467407446), (9.903952361130507, 53.56853359441352), (9.9038997758378, 53.56858451820485), (9.904143123984666, 53.56848309797264)]"
1,"[[39.0, 640.49658203125], [5.91023063659668, 664.2283401489258], [6.852869033813477, 698.8300552368164], [72.79882717132568, 663.8440284729004], [39.0, 640.49658203125]]","[(np.float64(559738.8668417373), np.float64(5935981.79647643)), (np.float64(559731.146284368), np.float64(5935987.333607802)), (np.float64(559731.3662222511), np.float64(5935995.406934741)), (np.float64(559746.7528375967), np.float64(5935987.243939593)), (np.float64(559738.8668417373), np.float64(5935981.79647643))]","[(9.902079691675452, 53.56929919559661), (9.901964183154897, 53.569349839286986), (9.9019690478773, 53.569422372887765), (9.90219979909533, 53.56934725646906), (9.902079691675452, 53.56929919559661)]"
2.0,"[[989.7052764892578, 362.86731719970703], [994.980052947998, 361.734655380249], [995.0, 361.49853515625], [989.7052764892578, 362.86731719970703]]","[(np.float64(559960.6869018216), np.float64(5935917.019576871)), (np.float64(559961.917621015), np.float64(5935916.755302422)), (np.float64(559961.9222750928), np.float64(5935916.700210477)), (np.float64(559960.6869018216), np.float64(5935917.019576871))]","[(9.905416364709932, 53.568691714069836), (9.905434895489746, 53.56868919827261), (9.905434955180889, 53.56868870260494), (9.905416364709932, 53.568691714069836)]"
2.1,"[[840.1812324523926, 439.15836334228516], [685.1235389709473, 712.7176504135132], [714.8776111602783, 712.7448482513428], [768.7586097717285, 642.8603019714355], [868.30251121521, 454.74684715270996], [930.0, 389.49951171875], [840.1812324523926, 439.15836334228516]]","[(np.float64(559925.7997151692), np.float64(5935934.819924526)), (np.float64(559889.6214086686), np.float64(5935998.647210432)), (np.float64(559896.5636758928), np.float64(5935998.653556274)), (np.float64(559909.1352757828), np.float64(5935982.347983309)), (np.float64(559932.3610164464), np.float64(5935938.457054245)), (np.float64(559946.7563721973), np.float64(5935923.233442655)), (np.float64(559925.7997151692), np.float64(5935934.819924526))]","[(9.904893049860767, 53.568855679399356), (9.904359063230032, 53.569433454468964), (9.904463881319588, 53.569432719028136), (9.904650564171659, 53.56928473827258), (9.904992811326764, 53.56888761848411), (9.905207232879471, 53.56874915261215), (9.904893049860767, 53.568855679399356)]"
3,"[[458.0, 308.49560546875], [396.6681842803955, 353.08426094055176], [396.10442543029785, 392.8604106903076], [460.68603515625, 327.3312692642212], [482.4511556625366, 322.5407180786133], [458.0, 308.49560546875]]","[(np.float64(559836.6285850175), np.float64(5935904.333483019)), (np.float64(559822.318548685), np.float64(5935914.736978698)), (np.float64(559822.1870115778), np.float64(5935924.017612923)), (np.float64(559837.2552949922), np.float64(5935908.728249912)), (np.float64(559842.3335673631), np.float64(5935907.610510927)), (np.float64(559836.6285850175), np.float64(5935904.333483019))]","[(9.903540889269552, 53.568591860888304), (9.903326827977269, 53.56868699351882), (9.903326619567276, 53.56877041774956), (9.90355119332928, 53.56863128716226), (9.903627651342012, 53.568620662377676), (9.903540889269552, 53.568591860888304)]"
4.0,"[[115.34580993652344, 43.96689224243164], [146.95132446289062, 28.343353271484375], [147.0, 26.49658203125], [103.0, 25.49755859375], [115.34580993652344, 43.96689224243164]]","[(np.float64(559756.6799669677), np.float64(5935842.6132248975)), (np.float64(559764.0542156487), np.float64(5935838.967916053)), (np.float64(559764.0655727021), np.float64(5935838.5370244635)), (np.float64(559753.7994230498), np.float64(5935838.303930733)), (np.float64(559756.6799669677), np.float64(5935842.6132248975))]","[(9.902322011069218, 53.56804626430451), (9.902432649083314, 53.56801266238489), (9.902432738104219, 53.5680087884734), (9.902277696572831, 53.568007862770614), (9.902322011069218, 53.56804626430451)]"
4.1,"[[81.76658248901367, 101.96415328979492], [88.98414039611816, 130.45238304138184], [163.84667205810547, 122.5817985534668], [189.90873050689697, 104.83597660064697], [179.74415016174316, 44.90622138977051], [162.0, 32.49951171875], [81.76658248901367, 101.96415328979492]]","[(np.float64(559748.8452084634), np.float64(5935856.145237655)), (np.float64(559750.5292204998), np.float64(5935862.792156518)), (np.float64(559767.9962648951), np.float64(5935860.955779286)), (np.float64(559774.0771056288), np.float64(5935856.815296017)), (np.float64(559771.7054896521), np.float64(5935842.832390661)), (np.float64(559767.5653964472), np.float64(5935839.937637521)), (np.float64(559748.8452084634), np.float64(5935856.145237655))]","[(9.90220631139506, 53.568168774852474), (9.90223300801859, 53.56822832196071), (9.902496373049885, 53.56820982825141), (9.902587388812455, 53.56817192316027), (9.902548906507008, 53.568046522630254), (9.90248584597499, 53.568020977774935), (9.90220631139506, 53.568168774852474)]"
5.0,"[[349.10111808776855, 396.45423316955566], [350.0771789550781, 398.8937759399414], [363.73782444000244, 387.99579429626465], [349.10111808776855, 396.45423316955566]]","[(np.float64(559811.220125502), np.float64(5935924.856129273)), (np.float64(559811.4478615687), np.float64(5935925.425327254)), (np.float64(559814.6351849982), np.float64(5935922.882592926)), (np.float64(559811.220125502), np.float64(5935924.856129273))]","[(9.903161200644679, 53.568779204138814), (9.903164748035847, 53.56878429381683), (9.90321238372424, 53.56876107777476), (9.903161200644679, 53.568779204138814)]"
5.1,"[[309.07159996032715, 426.19318199157715], [306.72599029541016, 437.92338943481445], [323.99111557006836, 424.63330078125], [309.07159996032715, 426.19318199157715]]","[(np.float64(559801.8803749655), np.float64(5935931.794867889)), (np.float64(559801.3330936054), np.float64(5935934.5317784585)), (np.float64(559805.3614199653), np.float64(5935931.430913936)), (np.float64(559801.8803749655), np.float64(5935931.794867889))]","[(9.903021516375246, 53.56884263029337), (9.903013777465176, 53.56886729051767), (9.90307400405454, 53.568838962509155), (9.903021516375246, 53.56884263029337)]"
6,"[[472.0, 336.49365234375], [408.6842842102051, 396.56196212768555], [410.54722023010254, 430.5647096633911], [493.61606216430664, 347.95434951782227], [472.0, 336.49365234375]]","[(np.float64(559839.8950871796), np.float64(5935910.8660316365)), (np.float64(559825.1221641423), np.float64(5935924.881264764)), (np.float64(559825.5568273235), np.float64(5935932.814839646)), (np.float64(559844.9385810222), np.float64(5935913.540059644)), (np.float64(559839.8950871796), np.float64(5935910.8660316365))]","[(9.903591458701424, 53.56865019931243), (9.903371100313718, 53.56877784511986), (9.903379182554026, 53.56884909816298), (9.903668118171453, 53.568673656781264), (9.903591458701424, 53.56865019931243)]"
